"ONS_Code","PCV_12m","PCV_24m","Population_12m","Population_24m","Year","Quarter","Timepoint","Vaccine_Schedule","UTLA_Name"
"E06000037",93.1769722814499,85.2941176470588,469,476,"2013/2014","Q3","2","0",NA
"E10000032",95.2213941253836,90.9319899244333,2281,2382,"2013/2014","Q3","2","0",NA
"E06000040",94.2268041237113,93.0635838150289,485,519,"2013/2014","Q3","2","0",NA
"E06000041",95.6521739130435,91.1421911421911,437,429,"2013/2014","Q3","2","0",NA
"E06000022",95.5128205128205,94.6902654867257,468,452,"2013/2014","Q3","2","0",NA
"E06000023",95.9475566150179,93.8125,1678,1600,"2013/2014","Q3","2","0",NA
"E06000052",95.0460014154282,93.3911882510013,1413,1498,"2013/2014","Q3","2","0",NA
"E10000008",95.4618259476775,94.1236068895643,1873,1974,"2013/2014","Q3","2","0",NA
"E10000013",95.9171937895342,94.8441926345609,1739,1765,"2013/2014","Q3","2","0",NA
"E06000024",97.3640856672158,96.545768566494,607,579,"2013/2014","Q3","2","0",NA
"E06000026",97.442143727162,98.0074719800747,821,803,"2013/2014","Q3","2","0",NA
"E10000027",95.5840455840456,94.5680628272251,1404,1528,"2013/2014","Q3","2","0",NA
"E06000025",97.1393034825871,96.375,804,800,"2013/2014","Q3","2","0",NA
"E06000030",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q3","2","0",NA
"E06000027",97.9695431472081,96.3541666666666,394,384,"2013/2014","Q3","2","0",NA
"E06000054",96.8863142650253,95.8836053938964,1381,1409,"2013/2014","Q3","2","0",NA
"E08000037",94.5723684210526,95.4159592529711,608,589,"2013/2014","Q3","2","0",NA
"E06000057",95.1406649616368,95.4712362301102,782,817,"2013/2014","Q3","2","0",NA
"E06000059",97.130242825607,96.4892412231031,906,883,"2013/2014","Q3","2","0",NA
"E06000047",98.0243161094225,98.2954545454545,1316,1408,"2013/2014","Q4","3","0",NA
"E06000005",96.5277777777778,93.1034482758621,288,319,"2013/2014","Q4","3","0",NA
"E06000001",93.3920704845815,93.8405797101449,227,276,"2013/2014","Q4","3","0",NA
"E06000002",94.1810344827586,93.9571150097466,464,513,"2013/2014","Q4","3","0",NA
"E08000021",93.2266009852217,95.1653944020356,812,786,"2013/2014","Q4","3","0",NA
"E08000022",97.158081705151,96.8085106382979,563,564,"2013/2014","Q4","3","0",NA
"E06000003",96.5425531914894,95.0953678474114,376,367,"2013/2014","Q4","3","0",NA
"E08000023",97.4937343358396,96.6745843230404,399,421,"2013/2014","Q4","3","0",NA
"E06000004",94.8419301164726,94.5670628183362,601,589,"2013/2014","Q4","3","0",NA
"E08000024",98.4463276836158,98.7163029525032,708,779,"2013/2014","Q4","3","0",NA
"E06000008",93.5714285714286,95.9719789842382,560,571,"2013/2014","Q4","3","0",NA
"E06000009",96.0212201591512,92.5257731958763,377,388,"2013/2014","Q4","3","0",NA
"E08000001",96.7672413793103,95.8451369216242,928,1059,"2013/2014","Q4","3","0",NA
"E08000002",95.9183673469388,93.6454849498328,637,598,"2013/2014","Q4","3","0",NA
"E06000049",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q4","3","0",NA
"E06000050",96.7723828234634,93.245106148332,3563,3627,"2013/2014","Q4","3","0",NA
"E10000006",97.2198820556024,96.4200477326969,1187,1257,"2013/2014","Q4","3","0",NA
"E06000006",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q4","3","0",NA
"E08000011",94.3052391799544,96.049896049896,439,481,"2013/2014","Q4","3","0",NA
"E10000017",89.0903098220171,88.8184245660881,3034,2996,"2013/2014","Q4","3","0",NA
"E08000012",95.3558052434457,93.9844302901628,1335,1413,"2013/2014","Q4","3","0",NA
"E08000003",95.4570333880679,93.6656282450675,1827,1926,"2013/2014","Q4","3","0",NA
"E08000004",96.8674698795181,96.5559655596556,830,813,"2013/2014","Q4","3","0",NA
"E08000005",96.0369881109643,95.064935064935,757,770,"2013/2014","Q4","3","0",NA
"E08000006",95.5503512880562,97.2850678733032,854,884,"2013/2014","Q4","3","0",NA
"E08000014",95.7831325301205,94.6708463949843,664,638,"2013/2014","Q4","3","0",NA
"E08000013",93.3707344879947,91.1676618044774,866,882,"2013/2014","Q4","3","0",NA
"E08000007",95.5128205128205,94.2987457240593,780,877,"2013/2014","Q4","3","0",NA
"E08000008",95.5696202531646,95.7848837209303,632,688,"2013/2014","Q4","3","0",NA
"E08000009",96.3515754560531,96.2264150943396,603,689,"2013/2014","Q4","3","0",NA
"E06000007",96.1739130434783,94.9044585987261,575,628,"2013/2014","Q4","3","0",NA
